kind,idx,us,extra
rollover,994,14,
rollover,995,19,
rollover,996,14,
rollover,997,6,
rollover,998,6,
rollover,999,24,
rollover,1000,7,
rollover,1001,11,
rollover,1002,7,
rollover,1003,7,
rollover,1004,19,
rollover,1005,19,
rollover,1006,7,
rollover,1007,6,
rollover,1008,7,
rollover,1009,7,
rollover,1010,9,
rollover,1011,25,
rollover,1012,7,
rollover,1013,6,
rollover,1014,10,
rollover,1015,7,
rollover,1016,8,
rollover,1017,14,
rollover,1018,20,
rollover,1019,7,
rollover,1020,19,
rollover,1021,4,
rollover,1022,29,
rollover,1023,25,
rollover,1024,8,
rollover,1025,14,
rollover,1026,6,
rollover,1027,7,
rollover,1028,3,
rollover,1029,14,
rollover,1030,22,
rollover,1031,21,
rollover,1032,22,
rollover,1033,7,
rollover,1034,5,
rollover,1035,6,
rollover,1036,9,
rollover,1037,18,
rollover,1038,6,
rollover,1039,18,
rollover,1040,13,
rollover,1041,7,
rollover,1042,6,
rollover,1043,5,
rollover,1044,21,
rollover,1045,6,
rollover,1046,6,
rollover,1047,7,
rollover,1048,6,
rollover,1049,7,
rollover,1050,9,
rollover,1051,8,
rollover,1052,18,
rollover,1053,24,
rollover,1054,20,
rollover,1055,6,
rollover,1056,7,
rollover,1057,7,
rollover,1058,22,
rollover,1059,21,
rollover,1060,9,
rollover,1061,7,
rollover,1062,7,
rollover,1063,6,
rollover,1064,7,
rollover,1065,7,
rollover,1066,6,
rollover,1067,8,
rollover,1068,11,
rollover,1069,6,
rollover,1070,6,
rollover,1071,8,
rollover,1072,6,
rollover,1073,22,
rollover,1074,5,
rollover,1075,9,
rollover,1076,6,
rollover,1077,6,
rollover,1078,20,
rollover,1079,6,
rollover,1080,21,
rollover,1081,5,
rollover,1082,8,
rollover,1083,5,
rollover,1084,7,
rollover,1085,12,
rollover,1086,7,
rollover,1087,8,
rollover,1088,7,
rollover,1089,7,
rollover,1090,6,
rollover,1091,19,
rollover,1092,23,
rollover,1093,6,
rollover,1094,13,
rollover,1095,13,
rollover,1096,6,
rollover,1097,7,
rollover,1098,9,
rollover,1099,6,
rollover,1100,7,
rollover,1101,11,
rollover,1102,6,
rollover,1103,18,
rollover,1104,7,
rollover,1105,8,
rollover,1106,7,
rollover,1107,11,
rollover,1108,6,
rollover,1109,10,
rollover,1110,6,
rollover,1111,15,
rollover,1112,17,
rollover,1113,6,
rollover,1114,10,
rollover,1115,25,
rollover,1116,7,
rollover,1117,6,
rollover,1118,22,
rollover,1119,21,
rollover,1120,22,
rollover,1121,16,
rollover,1122,8,
rollover,1123,8,
rollover,1124,6,
rollover,1125,6,
rollover,1126,7,
rollover,1127,7,
rollover,1128,10,
rollover,1129,7,
rollover,1130,6,
rollover,1131,6,
rollover,1132,27,
rollover,1133,22,
rollover,1134,7,
rollover,1135,10,
rollover,1136,7,
rollover,1137,6,
rollover,1138,5,
rollover,1139,14,
rollover,1140,7,
rollover,1141,7,
rollover,1142,8,
rollover,1143,7,
rollover,1144,6,
rollover,1145,3,
rollover,1146,21,
rollover,1147,7,
rollover,1148,6,
rollover,1149,7,
rollover,1150,39,
rollover,1151,6,
rollover,1152,6,
rollover,1153,19,
rollover,1154,19,
rollover,1155,21,
rollover,1156,23,
rollover,1157,7,
rollover,1158,7,
rollover,1159,13,
rollover,1160,6,
rollover,1161,19,
rollover,1162,16,
rollover,1163,19,
rollover,1164,7,
rollover,1165,6,
rollover,1166,9,
rollover,1167,17,
rollover,1168,22,
rollover,1169,6,
rollover,1170,8,
rollover,1171,10,
rollover,1172,7,
rollover,1173,8,
rollover,1174,8,
rollover,1175,15,
rollover,1176,6,
rollover,1177,6,
rollover,1178,7,
rollover,1179,8,
rollover,1180,20,
rollover,1181,22,
rollover,1182,22,
rollover,1183,24,
rollover,1184,12,
rollover,1185,6,
rollover,1186,23,
rollover,1187,13,
rollover,1188,7,
rollover,1189,6,
rollover,1190,6,
rollover,1191,6,
rollover,1192,6,
rollover,1193,39,
rollover,1194,18,
rollover,1195,6,
rollover,1196,9,
rollover,1197,26,
rollover,1198,6,
rollover,1199,3,
rollover,1200,23,
rollover,1201,13,
rollover,1202,19,
rollover,1203,6,
